calendar_day,calendar_week,calendar_month,calendar_year,week_of_year,day_of_week,week_of_month
06-16-18,24,6,2018,24,5,3
06-17-18,24,6,2018,24,6,3
06-18-18,25,6,2018,25,0,4
06-19-18,25,6,2018,25,1,4
06-20-18,25,6,2018,25,2,4
06-21-18,25,6,2018,25,3,4
06-22-18,25,6,2018,25,4,4
06-23-18,25,6,2018,25,5,4
06-24-18,25,6,2018,25,6,4
06-25-18,26,6,2018,26,0,5
06-26-18,26,6,2018,26,1,5
06-27-18,26,6,2018,26,2,5
06-28-18,26,6,2018,26,3,5
06-29-18,26,6,2018,26,4,5
06-30-18,26,6,2018,26,5,5
07-01-18,26,7,2018,26,6,1
07-02-18,27,7,2018,27,0,2
07-03-18,27,7,2018,27,1,2
07-04-18,27,7,2018,27,2,2
07-05-18,27,7,2018,27,3,2
07-06-18,27,7,2018,27,4,2
07-07-18,27,7,2018,27,5,2
07-08-18,27,7,2018,27,6,2
07-09-18,28,7,2018,28,0,3
07-10-18,28,7,2018,28,1,3
07-11-18,28,7,2018,28,2,3
07-12-18,28,7,2018,28,3,3
07-13-18,28,7,2018,28,4,3
07-14-18,28,7,2018,28,5,3
07-15-18,28,7,2018,28,6,3
07-16-18,29,7,2018,29,0,4
07-17-18,29,7,2018,29,1,4
07-18-18,29,7,2018,29,2,4
07-19-18,29,7,2018,29,3,4
07-20-18,29,7,2018,29,4,4
07-21-18,29,7,2018,29,5,4
07-22-18,29,7,2018,29,6,4
07-23-18,30,7,2018,30,0,5
07-24-18,30,7,2018,30,1,5
07-25-18,30,7,2018,30,2,5
07-26-18,30,7,2018,30,3,5
07-27-18,30,7,2018,30,4,5
07-28-18,30,7,2018,30,5,5
07-29-18,30,7,2018,30,6,5
07-30-18,31,7,2018,31,0,6
07-31-18,31,7,2018,31,1,6
08-01-18,31,8,2018,31,2,1
08-02-18,31,8,2018,31,3,1
08-03-18,31,8,2018,31,4,1
08-04-18,31,8,2018,31,5,1
08-05-18,31,8,2018,31,6,1
08-06-18,32,8,2018,32,0,2
08-07-18,32,8,2018,32,1,2
08-08-18,32,8,2018,32,2,2
08-09-18,32,8,2018,32,3,2
08-10-18,32,8,2018,32,4,2
08-11-18,32,8,2018,32,5,2
08-12-18,32,8,2018,32,6,2
08-13-18,33,8,2018,33,0,3
08-14-18,33,8,2018,33,1,3
08-15-18,33,8,2018,33,2,3
08-16-18,33,8,2018,33,3,3
08-17-18,33,8,2018,33,4,3
08-18-18,33,8,2018,33,5,3
08-19-18,33,8,2018,33,6,3
08-20-18,34,8,2018,34,0,4
08-21-18,34,8,2018,34,1,4
08-22-18,34,8,2018,34,2,4
08-23-18,34,8,2018,34,3,4
08-24-18,34,8,2018,34,4,4
08-25-18,34,8,2018,34,5,4
08-26-18,34,8,2018,34,6,4
08-27-18,35,8,2018,35,0,5
08-28-18,35,8,2018,35,1,5
08-29-18,35,8,2018,35,2,5
08-30-18,35,8,2018,35,3,5
08-31-18,35,8,2018,35,4,5
09-01-18,35,9,2018,35,5,1
09-02-18,35,9,2018,35,6,1
09-03-18,36,9,2018,36,0,2
09-04-18,36,9,2018,36,1,2
09-05-18,36,9,2018,36,2,2
09-06-18,36,9,2018,36,3,2
09-07-18,36,9,2018,36,4,2
09-08-18,36,9,2018,36,5,2
09-09-18,36,9,2018,36,6,2
09-10-18,37,9,2018,37,0,3
09-11-18,37,9,2018,37,1,3
09-12-18,37,9,2018,37,2,3
09-13-18,37,9,2018,37,3,3
09-14-18,37,9,2018,37,4,3
09-15-18,37,9,2018,37,5,3
09-16-18,37,9,2018,37,6,3
09-17-18,38,9,2018,38,0,4
09-18-18,38,9,2018,38,1,4
09-19-18,38,9,2018,38,2,4
09-20-18,38,9,2018,38,3,4
09-21-18,38,9,2018,38,4,4
09-22-18,38,9,2018,38,5,4
09-23-18,38,9,2018,38,6,4
09-24-18,39,9,2018,39,0,5
